issn_impreso,issn_linea,nombre_revista,anio_vigencia,categoria
0366-5232,,Caldasia,2010,A1
0124-8170,,Ciencia E Ingeniería Neogranadina,2007,C
0120-9833,,Energética,2004,C
1794-4724,,Avances En Psicología Latinoamericana,2006,B
0121-7550,,Nomadas,2005,C
0120-0690,,Revista Colombiana De Ciencias Pecuarias,2012,A1
0120-8160,,Revista Escuela De Administración De Negocios,2004,C
0120-9957,,Revista Colombiana De Gastroenterología,2008,A2
0123-1294,,Educación Y Educadores,2008,B
0122-0268,,Revista Mvz Córdoba,2014,A1
1657-6357,,Sociedad Y Economía,2008,C
1692-8415,,Revista Ciencia  Y Tecnología Para La Salud Visual Y Ocular,2007,C
0120-2952,,Revista De La Facultad De Medicina Veterinaria Y De Zootecnia,2007,C
0121-4381,,Suma Psicológica,2004,C
0304-2847,,Revista Facultad Nacional De Agronomía - Medellín,2007,B
0124-5996,,Revista De Economía Institucional,2008,A2
0120-6230,,Revista Facultad De Ingeniería,2011,A1
0120-3584,,Desarrollo Y Sociedad,2005,C
0121-5167,,Estudios Políticos,2007,C
0121-750X,,Ingeniería,2005,C
0120-3649,,Theologica Xaveriana,2012,A2
0123-9392,,Infectio,2005,C
0124-0579,,Estudios Socio-Jurídicos,2011,A2
1692-8156,,International Law : Revista Colombiana De Derecho Internacional,2006,C
0120-386X,,Revista Facultad Nacional De Salud Publica,2009,B
0124-0781,,Reflexión Política,2009,C
1657-8953,,Civilizar,2008,C
0121-4004,,Vitae,2012,A1
1657-6357,,Sociedad Y Economía,2007,C
0121-4705,,Análisis Político,2008,A2
0122-6339,,Enunciación,2010,C
0120-4807,,Universitas Humanística,2012,A2
0120-9957,,Revista Colombiana De Gastroenterología,2006,B
0120-2812,,Acta Agronómica,2007,B
0120-2456,,Anuario Colombiano De Historia Social,2013,A2
1794-5887,,Co-Herencia,2011,A2
0123-5095,,Cuestiones De Filosofía,2012,C
0123-7047,,Medunab,2009,C
0034-7426,,Revista Colombiana De Matemáticas,2006,B
0120-0739,,Colombia Forestal,2012,B
0041-9060,,Vniversitas,2012,A2
0123-5923,,Estudios Gerenciales,2013,A2
0123-1294,,Educación Y Educadores,2009,B
1692-1259,,Epsilon,2008,C
1794-4724,,Avances En Psicología Latinoamericana,2007,B
1794-4449,,Revista Lasallista De Investigación,2010,A2
0120-0062,,Ideas Y Valores,2014,A2
0121-5469,,Revista Colombiana De Psicología,2010,B
0120-1867,,Estudios De Derecho,2015,B
1657-8031,,El Ágora Usb,2007,C
0120-2456,,Anuario Colombiano De Historia Social,2007,C
1794-9815,,Códices,2013,C
1657-0308,,Revista De Arquitectura,2011,B
2011-7485,,Psicología Desde El Caribe,2012,A1
0122-994X,,Miradas,2011,C
0120-9833,,Energética,2008,C
1900-3803,,Entramado,2010,C
0120-0283,,Boletín De Geología,2012,A2
1657-0308,,Revista De Arquitectura,2014,B
0124-4639,,Revista Universidad Y Empresa,2013,B
0121-6538,,Ánfora,2008,C
1900-9607,,Revista Ces Medicina Veterinaria Y Zootecnia,2012,A2
1692-9918,,Ingenieria De Recursos Naturales Y Del Ambiente,2011,C
1909-7794,,Revista De Derecho Privado,2012,C
0121-182X,,Prolegomenos : Derechos Y Valores,2013,B
1794-2918,,Jurídicas,2008,C
1900-2386,,Psychologia. Avances De La Disciplina,2011,A2
0121-4381,,Suma Psicológica,2013,A2
0120-3886,,Revista Facultad De Derecho Y Ciencias Políticas,2008,C
0123-3769,,Perspectiva Geográfica,2009,C
0120-2456,,Anuario Colombiano De Historia Social,2011,A2
0124-308X,,Revista De La Facultad Ciencias De La Salud Universidad Del Cauca,2011,C
1692-1798,,Revista Iteckne,2011,B
1657-9763,,Apuntes,2011,A2
2027-2103,,Cuadernos De Vivienda Y Urbanismo,2014,B
1909-5759,,Revista Via Iuris,2011,C
1657-5946,,"Economía, Gestión Y Desarrollo",2010,C
2011-639X,,Revista De Investigación,2013,C
1692-2484,,Revista Filosofía Uis,2012,B
2011-7191,,Movimiento Científico,2014,C
2145-6569,,Revista De Psicologia Gepu,2012,B
0122-6150,,Revista Cientifica De Unincca,2013,C
1657-1959,,La Propiedad Inmaterial,2015,B
1909-7778,,Revista De Derecho Publico,2012,C
1794-8932,,Sophia,2012,B
2145-0935,,Revista Inge@Uan,2012,C
0123-8418,,Territorios,2013,B
2027-9035,,Historia 2.0,2013,B
0123-0670,,Papeles,2012,C
2145-9258,,Cultura Educacion Y Sociedad,2013,C
0121-4993,,Revista De Ingeniería,2014,A2
2027-3355,,Comunicaciones En Estadística,2014,B
1657-6799,,Revista Jurídica Piélagus,2012,C
1909-9843,,Iter Ad Veritatem,2011,C
2215-910X,,Suma De Negocios,2014,C
,,Acta Biológica Colombiana,2015,A2
0123-7047,,Medunab,2013,C
0122-5197,,Memoria Y Sociedad,2014,B
2011-5474,,Revista Latinoamericana De Etnomatemática,2016,C
0122-9761,,Boletín De Investigaciones Marinas Y Costeras,2013,A2
0120-1751,,Revista Colombiana De Estadística,2014,A1
2145-7719,,Revista Ces Derecho,2014,C
2027-8101,,Cuaderno Activa,2015,C
1657-4923,,Jangwa Pana,2017,C
0124-5996,,Revista De Economía Institucional,2017,B
0123-4412,,Estudios De Literatura Colombiana,2016,B
0120-4157,,Biomédica,2018,A2
1794-4953,,Revista Avancesinvestigacion En Ingenieria,2018,C
0123-5923,,Estudios Gerenciales,2018,B
1794-7111,,Kepes,2018,A2
0034-7426,,Revista Colombiana De Matemáticas,2021,C
2011-804X,,"(Pensamiento), (Palabra) Y Obra",2016,B
,,Luciernaga : Revista Virtual,2017,C
1692-5777,,"Gist, Education And Learning Research Journal",2017,B
0121-4772,,Revista Cuadernos De Economía,2017,B
0041-9060,,Vniversitas,2014,A2
0121-3474,,Verba Iuris,2015,C
2027-8306,,"Revista De Investigacion, Desarrollo E Innovacion",2019,B
0120-789X,,Revista Urologia Colombiana,2016,B
1909-5759,,Revista Via Iuris,2015,C
0124-7441,2590-4566,Justicia,2021,B
1794-7111,,Kepes,2019,A1
0120-3592,,Cuadernos De Administración,2020,C
0121-7550,,Nomadas,2016,A2
1909-7786,,"Revista De Derecho, Comunicaciones Y Nuevas Tecnologias",2016,B
1692-2522,2248-4086,Anagramas : Rumbos Y Sentidos De La Comunicación,2022,C
0121-182X,,Prolegomenos : Derechos Y Valores,2020,C
1794-7154,,"Saber, Ciencia Y Libertad",2019,B
0120-6346,,Semestre Económico,2020,C
1657-0790,,Profile,2020,B
1794-6670,,"Cuadernos De Música, Artes Visuales Y Artes Escénicas",2017,C
0120-856X,,Revista Colombiana De Cirugía,2008,B
2011-7531,2011-7531,Salud Uninorte,2022,C
,,Mutatis Mutandis. Revista Latinoamericana De Traducción.,2016,C
1794-7111,,Kepes,2011,B
2011-2173,,Revista Colombiana De Ciencias Hortícolas,2020,B
1657-6357,,Sociedad Y Economía,2019,B
1692-3375,,Umbral Científico,2012,C
0124-406X,,Rastros Rostros,2016,C
0123-0999,,Pensamiento Y Cultura,2011,B
2145-3381,,Criterio Juridico Garantista,2015,C
1657-480X,,Boletín Del Observatorio Colombiano De Energía,2008,C
0121-7577,,Hacia La Promoción De La Salud,2019,B
0123-5923,,Estudios Gerenciales,2004,C
1657-0308,,Revista De Arquitectura,2016,B
2027-9035,,Historia 2.0,2015,B
0123-3769,,Perspectiva Geográfica,2015,B
2011-7574,,Investigación & Desarrollo,2019,C
0124-5376,,Biota Colombiana,2019,C
0120-3347,2145-4604,Revista Colombiana De Anestesiología,2022,C
0121-0319,,Médicas Uis,2016,B
2011-642X,,Revista Ingenio Ufpso,2015,C
0122-8102,2346-1691,Cuadernos De Literatura,2022,C
0121-3474,,Verba Iuris,2014,C
0123-8574,,Asfaltos Y Pavimentos,2013,C
0122-9761,,Boletín De Investigaciones Marinas Y Costeras,2019,B
1900-7922,,La Manzana De La Discordia,2013,C
2011-0324,,Cs,2017,B
0120-4211,,Bistua : Revista  De La Facultad De Ciencias Básicas,2016,B
0122-8706,,Revista Corpoica,2016,A2
0122-9761,,Boletín De Investigaciones Marinas Y Costeras,2020,B
1692-2530,,Opinión Jurídica,2017,C
0120-4483,,Ensayos Sobre Política Económica,2015,A2
1657-8031,,El Ágora Usb,2018,B
0370-3908,,"Revista De La Academia Colombiana De Ciencias Exactas, Físicas Y Naturales",2014,A2
1909-941X,,Clio América,2019,C
1794-1180,,Escenarios,2016,C
0120-4645,,Cuadernos De Administración,2015,A2
0568-3076,,Agronomía,2011,B
0124-2059,,Investigación En Enfermería :Imagen Y Desarrollo,2017,C
2011-7485,,Psicología Desde El Caribe,2017,B
0120-3754,,Administración & Desarrollo,2014,C
1794-9998,,Diversitas : Perspectivas En Psicología,2014,A2
1900-0448,,Iusta,2008,C
1909-941X,,Clio América,2020,C
0123-7047,,Medunab,2016,B
2027-0658,,Derrotero,2012,C
0123-4412,2665-3273,Estudios De Literatura Colombiana,2021,C
0121-6805,1909-7719,Revista Facultad De Ciencias Económicas : Investigación Y Reflexión,2021,B
0121-5612,1900-6004,Colombia Internacional,2021,A1
1900-6896,2590-9452,Revista Colombiana De Bioética,2021,C
1657-0790,2256-5760,Profile,2021,A2
0122-0667,,Revista Medica De Risaralda,2008,C
0122-0667,,Revista Medica De Risaralda,2010,C
,,Colombia Médica,2009,A1
0370-3908,,"Revista De La Academia Colombiana De Ciencias Exactas, Físicas Y Naturales",2010,B
0120-2456,,Anuario Colombiano De Historia Social,2006,C
0120-0690,,Revista Colombiana De Ciencias Pecuarias,2006,B
0120-5633,,Revista Colombiana De Cardiología,2004,C
0041-9095,,Universitas Médica,2013,B
0012-7353,,Dyna,2005,C
0041-9060,,Vniversitas,2005,C
0120-3916,,Revista Colombiana De Educación,2004,C
0304-2847,,Revista Facultad Nacional De Agronomía - Medellín,2009,A2
0120-1867,,Estudios De Derecho,2007,C
0124-5376,,Biota Colombiana,2004,C
0120-0062,,Ideas Y Valores,2012,A1
1657-4583,,Uis Ingenierías,2011,B
0120-8160,,Revista Escuela De Administración De Negocios,2008,C
0124-7107,,Universidad Y Salud,2006,C
0120-0380,,Boletín De Matemáticas,2009,B
0120-386X,,Revista Facultad Nacional De Salud Publica,2011,A2
0124-0781,,Reflexión Política,2006,C
0121-3628,,Estudios De Filosofía,2013,A2
0120-9957,,Revista Colombiana De Gastroenterología,2005,B
1657-8953,,Civilizar,2012,A2
0123-1286,,Fitotecnia Colombiana,2006,C
0120-4661,,Historia Y Espacio,2009,C
0120-4645,,Cuadernos De Administración,2013,A2
0121-246X,,Revista Facultad De Odontología,2013,A2
1692-7257,,Revista Colombiana De Tecnologías De Avanzada,2012,C
0124-3551,,Revista Cife,2004,C
0034-7418,,Revista Colombiana De Ciencias Químico Farmacéuticas,2008,C
0120-4483,,Ensayos Sobre Política Económica,2013,A2
0121-246X,,Revista Facultad De Odontología,2012,A2
0123-3068,,Boletín Científico Del Museo De Historia Natural,2006,C
1794-7111,,Kepes,2012,B
0124-5996,,Revista De Economía Institucional,2009,A2
0120-8705,,Revista Ces Medicina,2013,A2
0121-4772,,Revista Cuadernos De Economía,2008,A2
1657-320X,,Archivos De Medicina,2008,C
1657-9550,,Biosalud,2009,B
1657-8961,,Pensamiento Psicológico,2011,A1
0123-7799,,Tecno Lógicas,2007,C
1909-2474,,Revista Luna Azul,2007,C
0123-1472,,Cuadernos De Contabilidad,2008,C
0121-067X,,Revista De Investigaciones,2009,C
0121-6805,,Revista Facultad De Ciencias Económicas : Investigación Y Reflexión,2008,B
1909-9762,,Revista Ingeniería Biomédica,2009,C
1657-4214,,Perfil De Coyuntura Economica,2007,C
0121-182X,,Prolegomenos : Derechos Y Valores,2009,C
1657-6357,,Sociedad Y Economía,2013,A2
1794-5992,,Duazary,2012,C
1909-8367,,Entre Ciencia E Ingenieria,2009,C
0122-7483,,Universitas Scientiarum,2014,A2
1794-2470,,Nova: Publicación Científica En Ciencias Médicas,2014,A2
0034-7426,,Revista Colombiana De Matemáticas,2015,A2
2145-132X,,Historelo : Revista De Historia Regional Y Local,2015,A2
1794-6190,,Earth Sciences Research Journal,2009,A2
2011-5474,,Revista Latinoamericana De Etnomatemática,2015,C
0120-3592,,Cuadernos De Administración,2012,A2
0124-7492,,Ingenium,2011,C
1909-0455,,Producción + Limpia,2015,A2
1657-3978,,Criterio Jurídico,2010,C
0120-8411,,Acta De Otorrinolaringología & Cirugía De Cabeza Y Cuello,2012,C
0120-8411,,Acta De Otorrinolaringología & Cirugía De Cabeza Y Cuello,2013,B
1794-5887,,Co-Herencia,2014,A2
1692-5114,,Revista M,2012,C
1909-941X,,Clio América,2009,C
1909-9762,,Revista Ingeniería Biomédica,2013,B
0120-5498,,Medicina,2015,B
,,Mutatis Mutandis. Revista Latinoamericana De Traducción.,2012,C
1794-8347,,Revista Ciencias Estratégicas,2011,B
0120-5587,,Lingüística Y Literatura,2011,B
0123-4641,,Colombian Applied Linguistics Journal,2013,A2
1692-0279,,Ad-Minister Revista Escuela De Administración,2013,B
1909-3667,,Tecciencia,2011,B
0121-7607,,Ambiente Y Desarrollo,2011,C
2145-6836,,Expeditio,2012,C
0121-1129,,Revista Facultad De Ingeniería,2011,B
2027-8306,,"Revista De Investigacion, Desarrollo E Innovacion",2012,C
0121-4470,,Momento,2012,B
1794-7030,,Hojas Y Hablas,2013,C
1692-8989,,Economía & Región,2015,B
1692-8989,,Economía & Región,2014,B
2027-5137,,Historia Y Memoria,2015,A2
0568-3076,,Agronomía,2012,C
2011-7485,,Psicología Desde El Caribe,2013,A1
0122-6150,,Revista Cientifica De Unincca,2012,C
1909-7778,,Revista De Derecho Publico,2013,C
2011-5253,,Ciudad Paz-Ando,2013,C
0121-0319,,Médicas Uis,2013,B
2011-0472,,Quaestiones Disputatae,2013,C
1909-2407,,"Revista Salud, Historia Y Sanidad On-Line",2013,C
2027-291X,,Revista Alimentos Hoy,2013,C
2145-6194,,Revista Civilizar De Empresa Y Economía,2012,C
1692-7125,,@Limenth,2012,C
1794-8932,,Sophia,2013,B
1692-7427,,Revista Actividad Fisica Y Desarrollo Humano,2014,C
0121-1129,,Revista Facultad De Ingeniería,2015,A2
0121-2494,,Pedagogía Y Saberes,2013,B
0034-7434,,Revista Colombiana De Obstetricia Y Ginecología,2017,C
2145-3535,,Informes Psicológicos,2017,C
0121-7577,,Hacia La Promoción De La Salud,2017,B
2011-5733,,Revista Criterios,2014,C
0122-6150,,Revista Cientifica De Unincca,2014,C
1692-0279,,Ad-Minister Revista Escuela De Administración,2018,B
0121-0319,,Médicas Uis,2018,C
0121-4381,,Suma Psicológica,2018,B
1692-5777,,"Gist, Education And Learning Research Journal",2018,B
0121-7488,,Ciencia En Desarrollo,2018,C
0120-2456,,Anuario Colombiano De Historia Social,2018,A2
0120-2804,2357-3791,Revista Colombiana De Química,2022,C
2215-8944,,Academia & Derecho,2021,B
2215-8944,,Academia & Derecho,2018,B
0120-3347,,Revista Colombiana De Anestesiología,2017,B
2346-0466,,Ingenieria E Innovacion,2015,C
0120-338X,,Forma Y Función,2013,A2
0120-419X,,Revista Integración,2020,C
0034-7450,,Revista Colombiana De Psiquiatría,2010,A1
0041-9060,,Vniversitas,2020,B
0123-2126,,Ingeniería Y Universidad,2014,A2
0034-7426,,Revista Colombiana De Matemáticas,2017,C
1909-2814,,Revista Q,2016,C
1657-9763,,Apuntes,2020,C
0122-6339,2248-6798,Enunciación,2022,C
0122-011X,,"Literatura : Teoría, Historia, Crítica",2009,C
1794-4724,,Avances En Psicología Latinoamericana,2016,A1
0122-8706,,Revista Corpoica,2018,C
1900-7841,,Revista Colombiana Salud Libre,2016,C
2346-0466,,Ingenieria E Innovacion,2016,C
0120-4327,,Revista Unimar,2016,C
0120-2456,,Anuario Colombiano De Historia Social,2020,C
0122-0667,,Revista Medica De Risaralda,2016,B
1657-8961,,Pensamiento Psicológico,2020,B
0120-0534,,Revista Latinoamericana De Psicología,2019,A2
1657-2513,,Revista Areté,2015,C
1794-631X,,Revista De Investigaciones,2009,C
1794-6638,,Ratio Juris,2014,C
0121-4772,,Revista Cuadernos De Economía,2015,A2
1692-7125,,@Limenth,2015,C
0124-6127,,Discusiones Filosóficas,2020,C
2145-5147,,Desarrollo Gerencial,2016,C
0120-2448,,Acta Médica Colombiana,2019,B
0304-3584,,Actualidades Biológicas,2016,A2
0366-5232,2357-3759,Caldasia,2022,B
0370-3908,,"Revista De La Academia Colombiana De Ciencias Exactas, Físicas Y Naturales",2017,B
1692-8571,,Justicia Juris,2012,C
0120-4823,,Signo Y Pensamiento,2015,A2
0120-4823,2027-2731,Signo Y Pensamiento,2021,A2
1692-5858,,Encuentros,2016,B
1794-8231,2462-8794,Ecomatematico,2021,C
2145-5074,,Mundo Amazonico,2014,C
1794-7111,2462-8115,Kepes,2021,A1
0124-4639,,Revista Universidad Y Empresa,2015,C
,2322-634X,Revista Colombiana de Salud Ocupacional,2021,C
0123-1022,,Folios,2013,C
0121-8530,,La Palabra,2016,A2
2027-1174,,Magis - Revista Internacional De Investigación En Educación,2020,C
1909-8391,,Tesis Psicologica,2015,C
2145-4892,,Revista De Psicología Universidad De Antioquia,2020,C
0568-3076,,Agronomía,2014,B
0121-7488,,Ciencia En Desarrollo,2019,C
1794-5658,,Amauta,2011,C
0121-5256,,Revista Med,2016,A2
0124-308X,,Revista De La Facultad Ciencias De La Salud Universidad Del Cauca,2015,C
0123-9015,,Revista Colombiana De Cancerología,2016,C
2011-0413,,Revista Investigaciones Aplicadas,2015,C
2011-642X,,Revista Ingenio Ufpso,2014,C
1657-4923,,Jangwa Pana,2018,C
0120-4823,,Signo Y Pensamiento,2017,B
1794-5887,,Co-Herencia,2020,A2
1794-2918,,Jurídicas,2012,B
0124-5821,,Revista Virtual Universidad Católica Del Norte,2020,B
1692-3324,,Revista Ingenierías Universidad De Medellín,2014,A2
0121-3784,,Livestock Research For Rural Development,2022,B
1900-3803,,Entramado,2020,B
0120-3649,,Theologica Xaveriana,2016,A2
2382-5014,,Revista Internacional De Cooperación Y Desarrollo,2017,C
2145-0366,,Aletheia,2014,B
0124-3691,,Revista Gastrohnup,2015,C
0122-2066,,Anuario De Historia Regional Y De Las Fronteras,2015,A2
2215-8944,,Academia & Derecho,2020,C
2215-9185,,Ces Odontología,2020,B
0120-2448,,Acta Médica Colombiana,2017,C
2011-5733,,Revista Criterios,2016,C
0121-4381,2145-9797,Suma Psicológica,2022,B
0120-8160,,Revista Escuela De Administración De Negocios,2012,B
1900-0642,,Criterio Libre,2020,C
0121-8697,,Revista De Derecho,2014,A2
0124-2059,2027-128X,Investigación En Enfermería :Imagen Y Desarrollo,2021,C
0124-0021,,Diálogos De Saberes,2015,C
0121-6538,,Ánfora,2016,C
0121-7372,,Repertorio De Medicina Y Cirugía,2009,C
0123-1286,,Fitotecnia Colombiana,2008,C
2011-5415,,Veterinaria Y Zootecnia,2015,B
0121-0041,,Revista Colombiana De Medicina Física Y Rehabilitación,2015,C
0122-5383,,"Ct&F Ciencia, Tecnología Y Futuro",2006,B
0121-7607,,Ambiente Y Desarrollo,2018,C
0121-4500,,Avances De Enfermería,2016,A2
0122-8102,,Cuadernos De Literatura,2020,B
0121-3628,,Estudios De Filosofía,2015,A2
1900-3102,,Ingenieria Solidaria,2015,C
2216-1473,,Revista Investigium Ire: Ciencias Sociales Y Humanas,2014,C
2215-9177,,Ces Medicina,2016,C
0121-3784,,Livestock Research For Rural Development,2017,C
0120-3584,,Desarrollo Y Sociedad,2020,C
1909-9762,,Revista Ingeniería Biomédica,2015,B
0123-885X,1900-5180,Revista De Estudios Sociales,2021,A2
0121-0807,2145-8464,Salud Uis,2021,B
0123-3122,2027-5382,Persona Y Bioética,2021,C
,2011-3080,Revista Ces Psicología,2021,C
0034-7418,,Revista Colombiana De Ciencias Químico Farmacéuticas,2009,C
0122-0667,,Revista Medica De Risaralda,2011,B
0120-4157,,Biomédica,2013,A1
0124-7107,,Universidad Y Salud,2012,B
0120-3630,,Boletín De Ciencias De La Tierra,2006,B
1657-5997,,Aquichan,2013,A1
0122-820X,,Revista Respuestas,2008,C
1794-4724,,Avances En Psicología Latinoamericana,2008,A2
1657-5997,,Aquichan,2007,B
0121-4500,,Avances De Enfermería,2007,C
1657-0448,,Revista De La Asociación Colombiana De Dermatología Y Cirugía Dermatológica,2010,C
0123-3432,,Íkala,2005,C
0120-5307,,Investigación Y Educación En Enfermería,2007,A2
0123-885X,,Revista De Estudios Sociales,2013,A1
0120-9833,,Energética,2005,C
0120-8845,,Revista Colombiana De Ortopedia Y Traumatología,2009,C
0123-5583,,Actualizaciones En Enfermería,2006,C
0123-885X,,Revista De Estudios Sociales,2016,A1
0123-2126,,Ingeniería Y Universidad,2011,A2
0120-0739,,Colombia Forestal,2004,C
0120-0976,,Revista Interamericana De Bibliotecología,2007,B
0121-4381,,Suma Psicológica,2006,C
0120-131X,,Cuestiones Teológicas Y Filosóficas,2010,C
0120-5609,,Ingeniería E Investigación,2008,A2
0124-0579,,Estudios Socio-Jurídicos,2008,C
0123-4226,,Revista U.D.C.A. Actualidad & Divulgación Científica,2006,C
0122-5383,,"Ct&F Ciencia, Tecnología Y Futuro",2009,A2
0122-5383,,"Ct&F Ciencia, Tecnología Y Futuro",2005,B
0121-4705,,Análisis Político,2006,B
0120-0283,,Boletín De Geología,2008,B
0120-0690,,Revista Colombiana De Ciencias Pecuarias,2015,A1
0120-4165,,Controversia,2006,C
1692-5238,,S&T : Sistemas Y Telemática,2013,C
0123-1294,,Educación Y Educadores,2007,B
0120-4823,,Signo Y Pensamiento,2013,A2
1692-715X,,"Revista Latinoamericana De Ciencias Sociales, Niñez Y Juventud",2013,A2
0123-3068,,Boletín Científico Del Museo De Historia Natural,2011,A2
0124-8170,,Ciencia E Ingeniería Neogranadina,2011,B
0120-338X,,Forma Y Función,2008,B
0120-8705,,Revista Ces Medicina,2011,A2
0122-9729,,Tendencias & Retos,2011,C
0123-7047,,Medunab,2006,C
0124-6127,,Discusiones Filosóficas,2014,A2
0120-0739,,Colombia Forestal,2006,C
0120-1751,,Revista Colombiana De Estadística,2011,A1
0120-1751,,Revista Colombiana De Estadística,2006,B
0120-1468,,Franciscanum,2014,A2
0120-9833,,Energética,2009,C
1794-9998,,Diversitas : Perspectivas En Psicología,2010,A2
1794-4449,,Revista Lasallista De Investigación,2011,A2
1900-6896,,Revista Colombiana De Bioética,2012,B
0123-7799,,Tecno Lógicas,2008,C
1794-2489,,Tabula Rasa,2007,B
0120-6788,,Matemáticas: Enseñanza Universitaria,2008,B
0121-3628,,Estudios De Filosofía,2008,A2
1657-4206,,Ecos De Economía,2011,A2
1900-0642,,Criterio Libre,2013,B
0122-4328,,Nodos Y Nudos,2007,B
2215-7840,,Revista Ciencias Biomédicas,2011,C
0120-971X,,Ces Odontología,2005,C
0121-5612,,Colombia Internacional,2007,B
0121-1617,,Historia Crítica,2014,A1
1794-1237,,Revista Eia,2014,A2
0121-117X,,Ensayos De Economía,2011,C
1692-5106,,Revista Ustasalud Odontología,2007,C
0124-8170,,Ciencia E Ingeniería Neogranadina,2012,B
2215-8987,,Arka Revista De Arquitectura,2011,C
1692-8261,,Prospectiva,2011,B
0121-4772,,Revista Cuadernos De Economía,2012,A2
1900-5407,,Antípoda : Revista De Antropología Y Arqueología,2009,A2
0123-2576,,Medicina & Laboratorio,2010,C
0072-0992,,Geología Colombiana,2010,C
1909-4841,,Tumbaga,2013,C
0122-5197,,Memoria Y Sociedad,2009,C
1692-8857,,Eidos,2009,B
2011-5318,,Educacion Y Desarrollo Social,2010,C
0123-4986,,Trabajo Social,2012,C
1657-2416,,Zona Próxima,2010,C
0121-2095,,Revista Colombiana De Radiología,2015,C
1794-8290,,Cuadernos De Literatura Del Caribe E Hispanoamérica,2010,C
1794-5232,,Cultura Del Cuidado Enfermeria,2013,C
0122-5197,,Memoria Y Sociedad,2010,B
2011-2106,,Revista De Economía Del Caribe,2013,A2
0122-9893,,Revista Derecho Del Estado,2013,B
0121-0483,,Derecho Penal Y Criminología,2012,B
1692-8989,,Economía & Región,2012,B
,,Luciernaga : Revista Virtual,2012,C
1794-600X,,Mision Juridica,2011,C
0121-4470,,Momento,2014,B
1794-600X,,Mision Juridica,2014,C
,,Luciernaga : Revista Virtual,2014,C
1909-7786,,"Revista De Derecho, Comunicaciones Y Nuevas Tecnologias",2011,C
2145-1362,,R.F.S. Revista Facultad De Salud Universidad Surcolombiana,2013,C
2215-910X,,Suma De Negocios,2013,C
2248-6046,,Finanzas Y Política Económica,2012,C
,,Luciernaga : Revista Virtual,2013,C
0122-8102,,Cuadernos De Literatura,2014,B
0120-0011,,Revista De La Facultad De Medicina De La Universidad Nacional De Colombia,2014,A2
2145-941X,,Pensamiento & Gestión,2013,A2
1692-0899,,Ingenium,2014,C
0121-3814,,"Tea Tecné, Episteme Y Didaxis",2013,B
0120-0488,,Revista Colombiana De Entomología,2014,A1
,,Eidos,2014,A2
,,Acta Biológica Colombiana,2014,A2
0120-0739,,Colombia Forestal,2015,A2
1657-8651,,"Revista Opera - Observatorio De Políticas, Ejecución Y Resultados De La Administración Pública",2015,B
2215-9177,,Ces Medicina,2014,C
1909-0455,,Producción + Limpia,2017,C
1794-2489,,Tabula Rasa,2017,B
0120-0062,,Ideas Y Valores,2017,C
2248-7441,,Revista Antioqueña De Las Ciencias Computacionales Y La Ingeniería De Software (Raccis),2014,C
0304-2847,,Revista Facultad Nacional De Agronomía - Medellín,2018,B
1794-9998,,Diversitas : Perspectivas En Psicología,2018,B
0124-177X,,Gestión Y Ambiente,2018,C
0120-2812,,Acta Agronómica,2018,C
1909-3667,,Tecciencia,2018,C
0120-4661,,Historia Y Espacio,2018,B
0120-8942,,Dikaion - Lo Justo,2018,C
1900-3099,,Pensando Psicologia,2018,C
1794-2489,2011-2742,Tabula Rasa,2022,C
2145-9282,,Ingenio Magno,2015,C
0120-338X,,Forma Y Función,2020,C
1900-4257,,Perspectivas Internacionales,2012,C
,2215-7727,Cuadernos De Desarrollo Rural,2021,C
2011-7531,,Salud Uninorte,2015,A2
0120-7555,,Turismo Y Sociedad,2016,C
0124-5821,,Revista Virtual Universidad Católica Del Norte,2019,B
0122-4409,,Papel Político,2015,A2
1657-4702,2462-859X,Revista Latinoamericana De Bioetica/Latinamerican Journal Of Bioethics,2022,B
2339-3084,,Contexto,2015,C
2011-7191,,Movimiento Científico,2016,C
0034-7450,,Revista Colombiana De Psiquiatría,2014,A1
0123-5095,,Cuestiones De Filosofía,2010,C
0121-246X,,Revista Facultad De Odontología,2018,B
0123-9015,,Revista Colombiana De Cancerología,2010,C
0123-9465,,Ambiente Jurídico,2016,C
2145-2660,,Vitae,2016,A1
0072-0992,,Geología Colombiana,2012,B
0120-548X,1900-1649,Acta Biológica Colombiana,2022,B
0034-7426,2357-4100,Revista Colombiana De Matemáticas,2022,C
0123-8418,,Territorios,2016,B
1794-5658,,Amauta,2013,C
1657-9553,,Revista Facultad De Ciencias Contables Económicas Y Administrativas Faccea,2016,C
0121-7550,,Nomadas,2015,A2
2011-4680,,Impetus,2016,C
1657-7558,,Oasis,2009,C
1692-3324,2248-4094,Revista Ingenierías Universidad De Medellín,2021,B
0121-7593,,Revista Educación Y Pedagogía,2009,C
0124-2253,2344-8350,Revista Científica,2022,B
0124-7107,,Universidad Y Salud,2017,C
0120-2456,,Anuario Colombiano De Historia Social,2016,A2
1900-0448,2500-5286,Iusta,2022,C
1909-2458,,Ingeniare,2020,C
1794-6670,,"Cuadernos De Música, Artes Visuales Y Artes Escénicas",2019,C
1657-4206,,Ecos De Economía,2019,C
1909-7050,,Ciencia Y Poder Aéreo,2016,C
1909-0528,,Via Inveniendi Et Iudicandi Revista Virtual,2013,C
0123-2576,,Medicina & Laboratorio,2014,B
0120-9965,,Agronomía Colombiana,2015,A2
